,Description
skin bumps,"Bumps are raised areas protruding from a level surface, such as skin bumps; or bruise results from blood leaking from these injured blood vessels into the tissues as well as from the body's response to the injury."
hair loss,"The medical term for hair loss is alopecia. Alopecia can be temporary or permanent. The most common form of hair loss occurs gradually and is referred to as ""androgenetic alopecia,"" meaning that a combination of hormones (androgens are male hormones) and heredity (genetics) is needed to develop the condition."
discharge from penis,"Penile discharge is any substance that comes out of the penis that's neither urine nor semen. This discharge usually comes out of the urethra, which runs through the penis and exits at the head. It might be white and thick or clear and watery, depending on the underlying cause"
echophrasia,The involuntary parrotlike repetition (echoing) of a word or phrase just spoken by another person.
warm to touch face,warm to touch face
sweat,"Diaphoresis is a medical term for perspiration or sweating. The term usually refers to unusually heavy perspiration. Hyperhidrosis pertains to sweating excessively and unpredictably, usually as a result of overactive sweat glands."
dyspnea,"Shortness of breath — known medically as dyspnea — is often described as an intense tightening in the chest, air hunger, difficulty breathing, breathlessness or a feeling of suffocation."
distended stomach,A swollen abdomen occurs when your stomach area is larger than normal. This is sometimes known as a distended abdomen or swollen belly. A swollen abdomen is often uncomfortable or even painful. A swollen abdomen has a number of potential causes and is a common occurrence.
weight loss,"Weight loss, in the context of medicine, health, or physical fitness, refers to a reduction of the total body mass, by a mean loss of fluid, body fat (adipose tissue), or lean mass (namely bone mineral deposits, muscle, tendon, and other connective tissue)."
muscle twitch,"Twitching: : Involuntary contractions of groups of muscle fibers. Also known as fasciculations. Fasciculations can occur in normal individuals without an associated disease or condition and can also occur as a result of illness, such as muscle cramps, nerve diseases, and metabolism imbalances."
sleepiness,"Somnolence (alternatively ""sleepiness"" or ""drowsiness"") is a state of strong desire for sleep, or sleeping for unusually long periods (compare hypersomnia). It has distinct meanings and causes. ... Somnolence is often viewed as a symptom rather than a disorder by itself."
tremor,"Tremor is an involuntary, rhythmic muscle contraction leading to shaking movements in one or more parts of the body. It is a common movement disorder that most often affects the hands but can also occur in the arms, head, vocal cords, torso, and legs."
fall,A fall is defined as an event which results in a person coming to rest inadvertently on the ground or floor or other lower level. Fall-related injuries may be fatal or non-fatal(1) though most are non-fatal.
bleeding of vagina,Abnormal vaginal bleeding is any vaginal bleeding unrelated to normal menstruation.
cough,"A cough is a forceful expulsion of air from the lungs that helps to clear secretions, foreign bodies, and irritants from the airway. It may be classified as acute (< 3 weeks), subacute (3–8 weeks), or chronic (> 8 weeks), as well as productive (with. sputum. /mucus expectoration) or dry."
pain chest,"Chest pain is defined as the presence of abnormal pain or discomfort in the chest, between the diaphragm and the base of the neck. It is one of the most frequent reasons for consulting in the Emergency Department, representing from 5-20% of medical emergency consultations."
muscle cramps,"A muscle cramp is a sudden and involuntary contraction of one or more of your muscles. If you've ever been awakened in the night or stopped in your tracks by a sudden charley horse, you know that muscle cramps can cause severe pain."
crying,"The fancy medical term for crying is lacrimation. The above description gives you some of the reasons for crying. Emotional crying is controlled by the hypothalamus, which is part of the limbic system of the brain. The limbic system is involved in generating basic emotions such as sadness, fear and anger."
rapid breathing,"Rapid, shallow breathing, also called tachypnea, occurs when you take more breaths than normal in a given minute. When a person breathes rapidly, it's sometimes known as hyperventilation, but hyperventilation usually refers to rapid, deep breaths."
muscle pain,"The medical term for muscle pain is myalgia. Muscle pain may arise due to injury or overexertion, infections of the soft tissues, or inflammatory conditions. A number of conditions can be associated with generalized aches and pain, such as influenza, that are perceived to be muscle pain."
slow heart rate,"Bradycardia is a heart rate that's too slow. What's considered too slow can depend on your age and physical condition. Elderly people, for example, are more prone to bradycardia. In general, for adults, a resting heart rate of fewer than 60 beats per minute (BPM) qualifies as bradycardia."
testicle pain,"Testicular pain, also known as scrotal pain, occurs when part or all of either one or both testicles hurt. Pain in the scrotum is also often included. Testicular pain may be of sudden onset or of long duration."
toe pain,"Foot pain is the sensation of discomfort in the foot arising from disorders or injury to any of the structures in the foot including bones, nerves, muscles, blood vessels, or connective tissue. There are numerous and varied causes for foot pain, since the foot is an extremely complex anatomic structure made up of 26 bones and 33 joints along with 19 muscles and 107 ligaments."
blackouts,"Blackouts are periods of unconsciousness or memory loss. Generally, a blackout is described as a period of unconsciousness or lack of awareness when you are unable to recall what happened or what you did."
joint pain,"Joint pain can be discomfort, pain or inflammation arising from any part of a joint — including cartilage, bone, ligaments, tendons or muscles. Most commonly, however, joint pain refers to arthritis or arthralgia, which is inflammation or pain from within the joint itself."
vomiting,"Vomiting, or throwing up, is a forceful discharge of stomach contents. It can be a one-time event linked to something that doesn't settle right in the stomach. Recurrent vomiting may be caused by underlying medical conditions."
enlarged  pupils,"Mydriasis is the medical term for an unusual dilation or widening of the pupils. Normally, a person's pupils dilate when the light is dim so that more light can enter the eye. Mydriasis describes a condition where the pupils dilate without a change in the levels of light."
painful intercourse,"The medical term for painful intercourse is dyspareunia (dis-puh-ROO-nee-uh), defined as persistent or recurrent genital pain that occurs just before, during or after intercourse. Talk to your doctor if you're having painful intercourse"
hyperventilating,Hyperventilation is a condition in which you start to breathe very fast. Healthy breathing occurs with a healthy balance between breathing in oxygen and breathing out carbon dioxide. You upset this balance when you hyperventilate by exhaling more than you inhale.
red  eyes,"Red eye: Also called conjunctivitis. Redness or irritation of the conjunctivae, the membranes on the inner part of the eyelids and the membranes covering the whites of the eyes. These membranes react to a wide range of bacteria, viruses, allergy-provoking agents, irritants and toxic agents."
shaking hands,"Essential tremor is a nervous system (neurological) disorder that causes involuntary and rhythmic shaking. It can affect almost any part of your body, but the trembling occurs most often in your hands — especially when you do simple tasks, such as drinking from a glass or tying shoelaces"
swollen lips,"Lip swelling is the enlargement or distention of one or both lips due to fluid buildup or inflammation within the lip tissue. Lip swelling may also be referred to as lip edema. A variety of mild to serious disorders, diseases and conditions can lead to lip swelling."
headache,"Headache: A pain in the head with the pain being above the eyes or the ears, behind the head (occipital), or in the back of the upper neck. Headache, like chest pain or back ache, has many causes."
red spots on the skin,"When the red spot is raised, it is known as a papule. Erythema is the medical term for redness of the skin. Red spots on the skin that occur singly can be a small benign tumor of blood vessels, known as a hemangioma. Tiny, pinpoint hemorrhages can be seen in the skin and are referred to as petechiae."
swollen glands,"Lymph nodes help your body recognize and fight germs, infections, and other foreign substances. The term ""swollen glands"" refers to enlargement of one or more lymph nodes. The medical name for swollen lymph nodes is lymphadenopathy."
memory loss,"Memory loss (amnesia) is unusual forgetfulness. You may not be able to remember new events, recall one or more memories of the past, or both. The memory loss may be for a short time and then resolve (transient). Or, it may not go away, and, depending on the cause, it can get worse over time"
bulging veins,"Varicose veins are swollen, twisted veins that you can see just under the skin. They usually occur in the legs, but also can form in other parts of the body. Hemorrhoids are a type of varicose vein. Your veins have one-way valves that help keep blood flowing toward your heart."
irregular menstrual periods,"The term metrorrhagia is often used for irregular menstruation that occurs between the expected menstrual periods. Oligomenorrhea is the medical term for infrequent, often light menstrual periods (intervals exceeding 35 days)."
easily distracted,a condition in which the attention of the mind is easily distracted by small and irrelevant stimuli
white patches on tongue,Oral thrush is one condition that may cause the tongue to appear white. Oral thrush is a fungal infection caused by the Candida yeast. Oral thrush causes patches to develop in the mouth and on the tongue. These patches usually have a white or off-white color and may have an unpleasant taste.
difficulty swallowing,"Dysphagia is the medical term for swallowing difficulties.
Some people with dysphagia have problems swallowing certain foods or liquids, while others can't swallow at all. Other signs of dysphagia include: coughing or choking when eating or drinking. bringing food back up, sometimes through the nose."
sensitive to heat,"Heat intolerance is a feeling of being overheated when the temperature around you rises. It can often cause heavy sweating. Heat intolerance usually comes on slowly and lasts for a long time, but it may also occur quickly and be a serious illness."
red  tongue,"Red. Red or bright red tongues can be caused by many things, such as inflammation, infection, a blood disease, a heart condition, or a vitamin B12 deficiency."
curved fingernails,"Clubbing is when your nails thicken and curve around your fingertips, a process that generally takes years. This can be the result of low oxygen in the blood and is associated with: cardiovascular diseases. inflammatory bowel disease."
weakness,"Asthenia, also known as weakness, is the feeling of body fatigue or tiredness. A person experiencing weakness may not be able to move a certain part of their body properly. Asthenia is best described as a lack of energy to move certain muscles or even all muscles in the body."
sensitivity to cold,Cold intolerance is an abnormal sensitivity to a cold environment or cold temperatures.
difficulty concentrate,"When you're unable to concentrate, you can't think clearly, focus on a task, or maintain your attention."
seizures,"A seizure is a sudden, uncontrolled electrical disturbance in the brain. It can cause changes in your behavior, movements or feelings, and in levels of consciousness. If you have two or more seizures or a tendency to have recurrent seizures, you have epilepsy."
broken bone,A fracture is the medical term for a broken bone. Fractures are common; the average person has two during a lifetime. They occur when the physical force exerted on the bone is stronger than the bone itself.
painful bowel movements,"Tenesmus refers to cramping rectal pain. Tenesmus gives you the feeling that you need to have a bowel movement, even if you've already had one. When you have tenesmus, you might strain harder to produce only a small amount of stool during bowel movements"
missed menstrual period,"Amenorrhea (uh-men-o-REE-uh) is the absence of menstruation — one or more missed menstrual periods. Women who have missed at least three menstrual periods in a row have amenorrhea, as do girls who haven't begun menstruation by age 15. The most common cause of amenorrhea is pregnancy"
creaking joints,"Crepitus, sometimes called crepitation (krep-i-tay-shen), describes any grinding, creaking, cracking, grating, crunching, or popping that occurs when moving a joint. People can experience crepitus at any age, but it becomes more common as people get older. See Conditions Related to Degenerative Arthritis."
increased thirst,Polydipsia is excessive thirst or excess drinking. Polydipsia is a nonspecific symptom in various medical disorders
abnormal gait,"Abnormal gait or a walking abnormality is when a person is unable to walk in the usual way. This may be due to injuries, underlying conditions, or problems with the legs and feet."
painful erection,"Priapism is a prolonged erection of the penis. The persistent erection continues hours beyond or isn't caused by sexual stimulation. Priapism is usually painful. Although priapism is an uncommon condition overall, it occurs commonly in certain groups, such as people who have sickle cell anemia."
restless  legs,"Restless legs syndrome (RLS), also called Willis-Ekbom Disease, causes unpleasant or uncomfortable sensations in the legs and an irresistible urge to move them. Symptoms commonly occur in the late afternoon or evening hours, and are often most severe at night when a person is resting, such as sitting or lying in bed."
